Neighborhood,Date,Connections,Key
 Parks,05/13/2014,49,449
 Parks,05/14/2014,48,450
 Parks,05/15/2014,44,451
 Parks,05/16/2014,62,452
 Parks,05/17/2014,55,453
 Parks,05/18/2014,58,454
 Parks,05/19/2014,41,455
 Parks,05/20/2014,44,456
 Parks,05/21/2014,36,457
 Parks,05/22/2014,33,458
 Parks,05/23/2014,42,459
 Parks,05/24/2014,48,460
 Parks,05/25/2014,41,461
 Parks,05/26/2014,42,462
 Parks,05/27/2014,36,463
 Parks,05/28/2014,29,464
 Parks,05/29/2014,43,465
 Parks,05/30/2014,53,466
 Parks,05/31/2014,66,467
 Parks,06/01/2014,48,468
 Parks,06/02/2014,51,469
 Parks,06/03/2014,42,470
 Parks,06/04/2014,38,471
 Parks,06/05/2014,24,472
 Parks,06/06/2014,56,473
 Parks,06/07/2014,44,474
 Parks,06/08/2014,40,475
 Parks,06/09/2014,43,476
 Parks,06/10/2014,36,477
 Parks,06/11/2014,41,478
 Parks,06/12/2014,50,479
 Parks,06/13/2014,38,480
 Parks,06/14/2014,57,481
 Parks,06/15/2014,50,482
 Parks,06/16/2014,53,483
 Parks,06/17/2014,32,484
 Parks,06/18/2014,50,485
 Parks,06/19/2014,59,486
 Parks,06/20/2014,59,487
 Parks,06/21/2014,59,488
 Parks,06/22/2014,49,489
 Parks,06/23/2014,49,490
 Parks,06/24/2014,48,491
 Parks,06/25/2014,54,492
 Parks,06/26/2014,62,493
 Parks,06/27/2014,80,494
 Parks,06/28/2014,55,495
 Parks,06/29/2014,40,496
 Parks,06/30/2014,40,497
 Parks,07/01/2014,57,498
 Parks,07/02/2014,84,499
 Parks,07/03/2014,95,500
 Parks,07/04/2014,61,501
 Parks,07/05/2014,113,502
 Parks,07/06/2014,122,503
 Parks,07/07/2014,128,504
 Parks,07/08/2014,142,505
 Parks,07/09/2014,132,506
 Parks,07/10/2014,133,507
 Parks,07/11/2014,130,508
 Parks,07/12/2014,119,509
 Parks,07/13/2014,110,510
 Parks,07/14/2014,95,511
 Parks,07/15/2014,125,512
 Parks,07/16/2014,115,513
 Parks,07/17/2014,169,514
 Parks,07/18/2014,183,515
 Parks,07/19/2014,133,516
 Parks,07/20/2014,104,517
 Parks,07/21/2014,117,518
 Parks,07/22/2014,139,519
 Parks,07/23/2014,146,520
 Parks,07/24/2014,136,521
 Parks,07/25/2014,136,522
 Parks,07/26/2014,119,523
 Parks,07/27/2014,98,524
 Parks,07/28/2014,134,525
 Parks,07/29/2014,108,526
 Parks,07/30/2014,124,527
 Parks,07/31/2014,135,528
 Parks,08/01/2014,143,529
 Parks,08/02/2014,115,530
 Parks,08/03/2014,106,531
 Parks,08/04/2014,138,532
 Parks,08/05/2014,144,533
 Parks,08/06/2014,157,534
 Parks,08/07/2014,158,535
 Parks,08/08/2014,154,536
 Parks,08/09/2014,122,537
 Parks,08/10/2014,127,538
 Parks,08/11/2014,140,539
 Parks,08/12/2014,132,540
 Parks,08/13/2014,93,541
 Parks,08/14/2014,128,542
 Parks,08/15/2014,118,543
 Parks,08/16/2014,110,544
 Parks,08/17/2014,118,545
 Parks,08/18/2014,135,546
 Parks,08/19/2014,125,547
 Parks,08/20/2014,144,548
 Parks,08/21/2014,149,549
 Parks,08/22/2014,133,550
 Parks,08/23/2014,109,551
 Parks,08/24/2014,118,552
 Parks,08/25/2014,98,553
 Parks,08/26/2014,43,554
 Parks,08/27/2014,111,555
 Parks,08/28/2014,770,556
 Parks,08/29/2014,956,557
 Parks,08/30/2014,1031,558
 Parks,08/31/2014,837,559
 Parks,09/01/2014,762,560
 Parks,09/02/2014,702,561
 Parks,09/03/2014,920,562
 Parks,09/04/2014,947,563
 Parks,09/05/2014,928,564
 Parks,09/06/2014,816,565
 Parks,09/07/2014,910,566
 Parks,09/08/2014,886,567
 Parks,09/09/2014,820,568
 Parks,09/10/2014,900,569
 Parks,09/11/2014,846,570
 Parks,09/12/2014,1003,571
 Parks,09/13/2014,1218,572
 Parks,09/14/2014,1136,573
 Parks,09/15/2014,855,574
 Parks,09/16/2014,766,575
 Parks,09/17/2014,883,576
 Parks,09/18/2014,854,577
 Parks,09/19/2014,872,578
 Parks,09/20/2014,870,579
 Parks,09/21/2014,706,580
 Parks,09/22/2014,724,581
 Parks,09/23/2014,813,582
 Parks,09/24/2014,770,583
 Parks,09/25/2014,741,584
 Parks,09/26/2014,948,585
 Parks,09/27/2014,1021,586
 Parks,09/28/2014,861,587
 Parks,09/29/2014,772,588
 Parks,09/30/2014,494,589
 Parks,10/01/2014,431,590
 Parks,10/02/2014,630,591
 Parks,10/03/2014,789,592
 Parks,10/04/2014,600,593
 Parks,10/05/2014,806,594
 Parks,10/06/2014,760,595
 Parks,10/07/2014,744,596
 Parks,10/08/2014,567,597
 Parks,10/09/2014,887,598
 Parks,10/10/2014,822,599
 Parks,10/11/2014,539,600
